"ID";"ONR";"KOSTENSCHLUESSEL";"KOSTENART";"KENNZEICHEN";"RECHNUNGSDATUM";"BETRAG";"WAEHRUNG";"MENGE";"MWST";"IHEIZEXT";"KONTOSTR";"HDART";"HDBETRAG";"CO2BETRAG";"CO2ART"
6;42;19;"Brennstoffkosten";"";31.12.2023;22257,33;"€";0,00;0,00;10;"41502";0;0,00;;
7;42;29;"Heizkostenverteiler";"";01.12.2023;648,11;"€";;0,00;20;"57004";0;0,00;;
8;42;29;"Schornsteinfeger";"";04.09.2023;96,31;"€";;0,00;20;"41201";0;0,00;;
9;42;29;"Heizungswartung";"";20.11.2023;146,37;"€";;0,00;20;"57005";0;0,00;;
